xp1,xp2,xpmix
0,8,8
0,6,0
0,3,0
0,5,0
1,6,6
2,1,1
0,2,0
0,8,0
1,4,1
1,10,1
1,4,1
0,8,0
1,3,1
1,6,1
0,6,0
0,2,0
1,5,1
0,5,0
1,6,6
0,5,0
3,7,7
1,7,1
0,4,0
0,4,0
0,4,0
0,6,0
1,8,1
0,5,0
0,8,0
2,4,4
0,5,0
0,6,0
0,4,0
2,4,4
0,5,0
1,6,1
0,5,0
0,8,0
0,3,0
0,4,0
3,5,5
1,7,7
2,5,5
1,3,1
0,5,0
0,7,0
2,2,2
0,3,0
0,5,0
0,4,0
1,3,1
0,12,0
1,4,1
0,4,4
2,8,8
1,3,1
0,11,0
0,6,6
0,8,0
0,1,0
1,8,1
0,8,0
1,8,1
0,5,5
1,6,1
0,6,0
1,8,1
0,8,0
2,5,5
2,4,4
1,11,11
2,8,8
0,1,0
1,2,1
1,8,1
1,2,1
1,8,1
2,11,11
0,4,0
0,7,0
2,4,4
2,5,5
0,2,0
0,8,0
2,2,2
0,2,0
1,1,1
0,5,5
1,2,1
0,4,0
0,2,0
1,5,5
1,6,1
0,1,0
2,5,5
1,5,1
0,7,0
0,5,0
0,5,0
0,2,0
1,2,1
0,5,0
2,9,9
0,5,0
0,6,0
0,3,0
0,3,0
0,1,0
2,3,3
0,8,0
0,10,0
0,4,0
1,4,1
3,9,9
0,7,0
1,8,1
0,4,0
0,7,0
1,7,1
0,9,0
0,8,0
0,4,4
0,6,0
0,5,0
0,6,0
0,5,0
0,6,0
0,6,0
0,6,0
2,4,4
1,5,5
0,10,0
0,7,0
1,4,1
1,5,5
1,7,1
0,3,0
0,2,0
0,2,0
0,6,0
0,3,0
1,7,1
0,7,0
0,4,4
1,3,3
0,8,0
1,6,1
0,6,0
0,5,5
0,4,4
2,6,6
0,2,0
0,4,0
1,6,1
1,6,1
1,1,1
1,6,1
0,8,0
1,5,5
0,5,0
0,4,0
0,7,0
0,7,0
1,5,1
1,5,1
0,4,0
0,4,0
0,4,0
0,7,0
1,4,1
1,4,1
1,7,1
0,2,0
1,1,1
1,7,1
0,2,0
0,6,0
2,6,6
0,7,0
0,3,0
0,6,6
1,10,1
1,6,1
0,7,0
1,2,1
1,6,1
1,2,1
0,7,0
0,2,0
2,5,5
1,11,1
0,7,0
0,11,0
1,11,1
0,8,0
0,9,0
0,3,0
2,5,5
1,2,1
1,8,1
0,7,0
1,3,1
1,8,1
0,3,0
0,5,0
1,6,1
1,7,1
1,10,1
0,3,0
0,8,0
0,6,0
1,5,1
0,8,0
0,5,5
1,6,1
1,5,1
0,4,0
0,7,0
0,3,0
0,5,0
0,4,0
1,9,1
0,5,0
0,3,0
0,6,0
1,3,1
1,4,1
0,6,0
0,2,0
1,7,1
3,7,7
0,8,0
0,3,3
0,9,0
0,5,0
0,5,0
0,10,0
0,5,0
0,2,0
0,4,0
3,8,8
0,2,0
0,5,0
0,4,0
1,4,1
1,2,1
2,7,7
0,4,0
0,3,0
0,4,0
0,5,0
1,4,1
0,4,0
0,6,0
0,5,0
1,11,1
1,2,1
0,4,0
0,7,0
0,0,0
0,6,6
0,5,0
0,3,3
0,4,0
0,3,0
0,5,0
0,7,0
1,1,1
0,9,9
0,3,0
1,3,1
0,3,0
0,8,0
1,1,1
2,4,4
0,5,0
1,7,1
0,6,0
1,12,1
0,6,0
2,5,5
1,3,1
1,3,1
0,7,0
0,11,0
1,4,1
0,11,0
0,5,0
0,9,0
0,5,0
1,4,1
1,2,2
0,6,0
1,4,1
3,8,8
0,4,0
1,1,1
0,9,0
0,7,0
1,7,1
0,8,0
0,4,0
0,3,0
1,7,1
1,6,1
1,7,1
1,7,1
1,6,1
0,7,0
1,3,3
0,2,0
0,7,0
0,2,0
0,6,6
1,6,1
0,3,0
1,4,1
0,6,0
1,6,1
0,4,0
0,7,0
0,6,0
0,1,0
0,9,0
1,7,1
0,7,0
1,4,4
0,2,0
0,4,0
0,7,7
0,5,0
0,6,0
0,4,0
0,3,0
0,6,0
0,6,0
0,5,0
1,5,5
1,7,1
0,4,0
1,6,1
0,10,0
0,6,0
0,6,0
1,5,1
0,4,0
1,6,6
1,8,1
0,7,0
0,5,0
1,6,1
0,4,0
0,4,4
0,6,0
0,5,0
2,5,5
0,5,0
0,6,0
3,2,2
2,3,3
0,2,2
1,6,1
2,6,6
0,8,0
1,8,1
0,3,0
0,6,0
1,3,1
2,1,1
0,5,0
1,6,1
0,9,0
0,6,0
0,3,0
0,5,0
0,8,0
0,5,0
2,2,2
0,5,0
0,3,0
0,2,2
3,7,7
0,6,0
1,9,1
0,4,0
0,4,4
0,5,0
1,8,8
0,9,0
0,7,0
1,3,1
0,8,0
1,7,1
0,9,0
0,6,0
1,4,1
1,4,1
0,4,0
1,4,1
2,9,9
1,5,1
1,5,5
0,5,0
0,4,0
0,5,0
0,9,0
0,4,0
1,7,1
0,4,0
0,6,0
1,8,1
0,3,0
0,6,0
1,4,1
0,5,0
0,2,2
3,3,3
0,3,0
1,8,1
0,5,0
0,6,0
0,11,0
0,6,0
0,5,0
1,4,1
0,7,0
0,5,0
1,7,1
0,4,0
1,5,1
0,8,0
0,6,0
0,4,4
0,7,0
0,8,0
1,4,1
0,9,0
0,4,0
1,4,4
0,5,0
0,3,0
3,2,2
1,11,1
2,9,9
0,3,0
0,6,0
2,6,6
2,8,8
0,5,0
0,2,0
1,6,1
0,6,0
0,2,2
1,5,5
0,3,0
0,11,0
0,6,0
0,7,0
0,7,0
0,6,0
0,4,0
0,6,6
2,9,9
1,5,5
0,5,5
0,6,0
0,5,0
1,6,1
1,8,1
0,4,0
0,4,0
0,6,6
1,7,1
0,7,0
0,9,0
0,10,0
1,9,1
0,6,0
0,5,0
0,11,0
0,2,0
1,2,1
2,4,4
1,9,1
0,8,0
1,6,1
1,7,1
0,2,0
1,6,1
0,6,0
0,4,0
0,7,0
0,5,0
0,1,0
0,9,0
0,9,0
2,3,3
0,9,0
0,5,5
0,7,0
0,4,0
1,3,1
1,6,1
1,9,9
0,7,0
0,4,0
0,3,0
0,9,0
0,3,3
1,4,1
0,5,0
0,3,0
1,2,2
0,4,0
0,3,0
0,4,0
0,8,0
0,9,0
1,8,8
0,6,0
0,2,0
1,7,1
1,10,1
1,7,1
1,4,4
0,6,0
1,8,1
1,6,6
0,10,0
0,5,0
0,6,0
0,9,9
0,6,0
1,6,1
2,3,3
1,4,1
0,6,0
0,3,0
0,6,0
1,5,1
0,3,0
1,8,1
2,6,6
1,9,1
0,5,0
0,5,0
0,6,0
0,5,0
0,4,0
1,5,1
0,5,0
1,7,7
1,6,1
0,9,0
2,5,5
3,4,4
2,3,3
0,8,0
0,6,0
0,5,0
1,3,1
0,5,0
1,5,1
0,5,0
1,6,1
0,3,0
2,5,5
0,7,0
1,9,1
0,5,0
0,5,0
0,5,0
1,5,1
1,7,1
1,2,1
2,6,6
0,8,0
0,2,0
0,9,0
0,7,0
1,8,1
0,4,0
0,5,5
0,8,0
0,7,0
2,10,10
0,9,0
1,4,1
0,5,0
0,4,0
0,4,0
0,5,0
0,8,0
0,7,0
0,5,0
0,3,0
0,2,0
1,4,1
0,5,0
0,1,0
2,4,4
0,2,0
0,8,0
1,5,1
0,5,0
0,9,0
0,5,0
1,7,1
0,5,5
0,7,0
1,11,1
0,7,0
1,4,1
0,6,0
2,10,10
0,5,0
0,4,0
0,5,0
0,5,0
0,9,9
0,5,0
1,6,1
1,6,1
1,7,1
1,10,1
0,2,0
1,7,1
2,6,6
1,6,1
0,3,0
0,2,0
0,5,0
1,10,1
1,7,1
1,2,1
2,7,7
1,4,1
1,8,8
2,7,7
1,4,1
1,3,1
0,6,0
0,6,6
1,9,1
1,3,1
0,13,0
1,5,1
0,7,0
1,4,1
0,7,0
0,5,5
0,6,0
0,6,0
0,6,0
1,5,5
0,4,0
1,2,1
0,4,0
0,11,0
0,5,0
0,6,0
0,2,2
0,6,0
1,8,1
3,10,10
0,6,0
1,6,1
0,7,0
0,5,0
3,9,9
0,3,0
0,3,0
0,3,0
0,5,0
0,8,0
3,3,3
0,6,0
1,12,1
1,3,1
0,8,0
0,8,0
2,5,5
0,1,0
0,10,0
0,5,0
0,6,0
0,9,9
2,7,7
1,4,1
0,4,0
0,5,0
1,8,1
1,10,1
0,5,0
0,2,0
0,3,0
0,7,0
0,6,0
0,7,0
0,5,0
0,8,0
1,13,1
0,3,0
0,4,0
1,4,1
0,7,0
0,5,0
0,3,0
0,5,5
1,1,1
0,8,0
0,7,0
0,4,0
0,10,0
0,7,0
0,8,0
0,9,0
0,4,0
0,8,0
1,7,1
1,5,1
0,7,0
0,6,0
0,3,0
1,4,1
0,5,0
0,4,0
1,4,1
0,2,0
1,4,4
0,10,0
0,8,0
0,8,0
0,6,0
1,3,1
1,6,1
0,4,4
2,8,8
0,2,0
0,12,0
1,5,5
0,5,0
0,7,0
0,3,0
0,4,0
0,2,0
0,4,0
0,5,0
1,4,1
0,2,0
0,4,0
0,5,0
0,8,0
1,6,6
1,9,1
0,8,0
0,3,0
1,7,1
0,1,0
1,3,1
0,1,0
0,6,0
2,5,5
1,3,3
0,7,0
2,8,8
0,5,0
0,4,0
0,6,0
0,8,0
0,5,0
0,5,0
0,6,0
2,6,6
0,8,0
0,1,0
0,3,0
0,6,0
0,5,0
0,3,0
0,5,0
0,8,0
1,6,1
0,8,0
0,6,0
1,4,1
0,6,0
2,8,8
1,8,1
1,2,1
0,4,0
0,5,0
2,12,12
1,6,1
0,6,0
0,5,0
0,5,0
0,9,0
0,4,0
0,5,0
1,3,1
0,9,0
0,2,0
1,5,1
0,6,0
1,7,1
0,4,0
0,4,0
2,5,5
1,2,1
0,2,2
0,3,0
0,6,0
0,6,0
0,4,0
2,6,6
0,3,0
1,3,1
0,5,0
0,6,0
0,6,0
3,7,7
0,1,0
0,6,0
1,4,1
2,2,2
0,7,0
0,5,0
1,7,1
0,8,0
1,4,1
2,5,5
1,3,1
0,3,0
0,6,0
1,2,1
1,0,1
1,5,1
0,4,0
0,11,0
0,7,0
2,6,6
0,2,0
0,8,0
0,9,0
0,5,0
1,4,1
1,3,3
2,3,3
0,4,0
0,5,0
0,6,0
1,4,1
0,6,0
1,5,1
1,3,1
0,4,0
1,5,1
0,4,4
2,6,6
3,13,13
1,8,1
2,7,7
2,7,7
1,5,1
1,7,1
1,7,1
0,2,0
0,10,0
0,4,0
1,5,1
0,4,4
2,5,5
0,6,0
1,6,1
0,9,0
0,8,0
2,6,6
0,5,5
0,4,0
0,10,0
0,4,4
0,6,6
0,6,0
0,6,0
0,2,0
0,7,0
0,2,0
0,3,3
0,7,0
0,1,0
0,7,0
0,9,0
0,4,0
0,6,0
0,3,0
0,2,0
1,6,1
0,4,0
1,5,5
0,5,0
0,1,0
0,5,0
1,2,1
3,8,8
0,11,0
1,7,1
0,8,0
1,4,1
1,4,1
1,5,1
1,4,1
0,6,0
0,9,0
0,5,0
0,5,0
0,8,0
0,3,0
0,3,0
3,8,8
1,9,1
1,3,1
0,6,0
0,5,0
1,9,1
0,7,0
1,8,1
0,10,0
3,5,5
0,4,0
0,6,0
0,8,0
1,5,1
1,4,1
0,8,0
1,5,5
1,3,1
1,7,1
0,6,0
0,3,0
1,3,1
0,6,0
1,6,1
1,6,1
0,8,0
0,7,0
1,8,1
0,5,0
0,8,0
0,8,0
0,11,0
0,2,0
1,5,1
1,1,1
1,5,1
0,12,0
0,6,0
1,4,1
1,10,1
0,5,0
1,7,1
0,2,0
0,6,0
0,0,0
0,6,0
0,6,0
1,6,1
0,5,0
0,7,0
0,8,0
0,6,0
0,3,0
0,4,0
0,5,0
0,8,0
1,5,1
0,3,0
1,3,3
0,5,5
0,2,0
0,6,0
1,10,10
1,7,1
1,6,1
0,2,0
1,2,1
0,3,0
0,1,0
0,7,0
1,7,1
0,6,0
1,5,1
1,4,1
0,4,0
0,6,0
1,1,1
1,8,1
0,6,0
2,10,10
0,9,0
0,6,6
0,5,0
2,6,6
0,6,0
1,4,4
2,3,3
2,5,5
0,6,6
0,6,0
0,7,0
1,4,1
0,8,0
0,4,0
1,3,1
1,4,1
0,5,0
0,6,0
1,9,1
0,4,0
0,5,0
2,3,3
1,4,1
1,1,1
0,3,0
0,4,0
0,7,0
0,11,0
2,3,3
0,6,0
0,5,5
0,6,0
1,6,1
1,3,1
1,1,1
0,3,0
0,4,4
0,8,0
0,7,0
0,4,0
0,1,0
0,10,0
1,7,1
1,7,7
0,5,0
2,6,6
0,9,0
1,5,1
0,9,0
1,2,1
0,5,0
2,6,6
1,9,9
1,2,1
0,8,0
1,7,1
0,5,0
0,6,0
1,12,1
0,7,0
1,5,1
0,5,0
1,10,1
0,4,0
0,8,8
0,6,0
0,4,0
1,4,4
1,9,1
0,3,0
1,6,1
2,5,5
1,3,1
1,8,1
1,11,1
1,4,1
0,6,0
0,4,4
0,5,5
0,4,0
0,4,0
1,6,1
0,9,9
1,5,1
0,5,0
0,7,0
0,2,0
0,10,0
0,4,0
2,6,6
0,3,0
0,6,6
1,4,1
0,7,0
1,3,1
0,6,6
1,6,6
0,5,0
0,5,0
0,5,0
1,5,1
0,2,2
0,4,0
0,7,0
0,5,0
1,4,1
0,5,0
0,2,0
1,9,1
0,3,0
0,5,0
1,8,1
1,11,1
1,8,1
0,3,0
1,7,1
0,5,0
0,8,0
0,5,0
2,6,6
1,1,1
1,6,1
1,6,1
1,4,1
1,11,1
1,6,1
0,1,0
1,6,1
2,7,7
1,4,1
0,6,0
1,5,1
0,6,0
0,8,0
0,7,0
0,7,0
0,12,0
0,5,0
1,6,1
1,4,1
0,7,0
2,0,0
1,6,1
0,8,0
0,7,0
1,5,1
1,7,1
0,4,0
0,7,0
1,7,1
1,6,1
0,3,0
0,5,0
0,6,0
0,6,0
0,5,0
0,5,5
0,5,0
0,4,0
1,5,5
0,3,0
0,11,0
0,8,0
0,3,0
1,5,1
0,6,0
0,4,0
1,9,1
0,6,0
0,5,0
1,8,1
0,7,0
1,7,1
0,6,0
1,3,1
0,6,0
0,3,0
0,6,0
0,4,0
0,4,0
1,7,1
1,6,1
0,11,0
1,3,3
1,3,1
2,5,5
0,4,0
1,5,5
0,7,0
0,9,0
0,5,0
0,7,0
0,7,0
0,4,0
1,8,1
0,2,0
1,6,1
1,1,1
0,5,5
0,3,0
0,3,3
0,10,0
1,10,1
0,9,0
1,8,1
2,5,5
0,8,0
0,5,0
1,4,1
1,4,1
0,2,0
0,4,0
2,6,6
2,8,8
0,12,0
1,10,1
2,5,5
0,4,0
0,4,0
0,1,1
2,9,9
1,5,1
0,8,0
1,6,1
0,6,0
1,4,1
0,3,0
0,2,0
1,10,1
0,4,0
0,11,0
1,3,1
0,3,0
0,4,0
1,5,1
0,7,0
1,3,3
3,6,6
0,2,0
0,6,0
0,7,0
1,5,1
0,3,0
0,2,0
0,5,0
0,8,0
0,5,0
2,5,5
0,6,0
0,3,0
0,4,0
0,6,6
1,4,1
0,3,0
3,7,7
0,11,0
0,2,0
2,5,5
1,5,1
1,4,4
0,6,0
0,7,7
1,6,1
2,7,7
0,6,0
0,5,0
1,6,1
0,4,0
0,12,12
0,3,3
0,3,0
1,3,1
0,7,0
2,5,5
0,9,0
0,8,0
0,6,0
1,9,1
0,2,0
0,4,0
2,3,3
4,5,5
0,7,0
1,4,1
0,4,0
0,5,0
1,3,1
0,6,0
0,7,0
0,9,0
0,6,0
1,7,1
0,1,0
0,4,0
1,6,1
1,8,1
2,3,3
0,6,0
0,6,0
1,2,1
0,4,0
0,5,0
0,5,0
1,5,1
0,5,5
2,6,6
0,3,3
0,8,8
0,5,0
2,6,6
0,3,0
0,5,0
0,8,0
0,4,0
0,10,0
1,4,1
1,8,8
1,5,5
3,6,6
1,2,2
0,7,0
0,5,0
0,10,0
0,10,0
1,3,1
0,9,0
0,7,0
0,8,0
0,6,0
1,9,1
2,5,5
0,3,0
1,8,1
0,5,0
1,10,1
1,6,1
2,1,1
3,3,3
0,5,5
0,9,0
1,4,4
0,9,0
0,6,6
0,8,0
0,5,0
0,4,4
0,3,0
1,10,1
0,7,0
2,5,5
1,4,1
0,7,0
0,7,0
0,6,6
0,4,0
1,1,1
0,6,0
0,6,0
0,3,0
0,6,0
0,6,0
1,4,1
1,5,5
0,9,0
0,4,4
0,9,0
0,6,6
0,6,0
0,8,0
0,8,0
0,2,0
0,1,0
1,10,1
1,4,1
0,9,0
0,9,0
0,6,0
0,6,0
1,3,1
0,6,0
1,9,1
0,4,0
1,4,1
2,7,7
2,13,13
0,4,0
0,4,0
0,7,0
0,4,0
0,7,0
1,5,1
0,4,0
1,5,1
0,7,0
0,8,8
0,8,8
0,8,0
0,7,0
1,7,1
0,3,0
2,9,9
1,4,1
1,6,1
2,4,4
1,7,1
0,7,0
0,2,0
1,6,1
1,4,1
1,5,5
1,9,1
1,5,1
0,4,4
2,3,3
1,5,5
0,4,0
1,3,1
1,6,6
1,4,1
0,2,0
0,4,0
1,3,1
0,8,0
0,2,2
0,3,3
0,11,0
0,9,9
1,3,3
0,6,6
0,6,0
1,4,1
0,4,0
1,5,1
0,7,0
3,1,1
2,4,4
0,1,0
0,7,0
0,5,0
0,8,8
1,9,1
0,3,0
0,11,11
0,3,0
1,7,1
1,2,1
0,5,0
0,8,0
0,4,0
0,11,0
0,7,0
0,3,0
0,7,0
0,4,0
0,3,0
0,4,0
1,9,1
2,7,7
0,10,0
0,8,0
1,3,1
1,9,1
0,7,0
2,7,7
0,8,0
1,6,1
1,9,1
1,9,1
0,5,0
1,6,1
0,3,0
1,6,1
0,6,0
1,6,1
1,4,1
0,2,0
1,3,1
0,3,0
3,9,9
0,6,0
1,2,1
0,7,0
0,4,0
0,5,0
0,8,0
1,3,1
0,3,0
0,8,0
1,4,1
0,3,0
0,3,0
1,4,4
0,2,0
0,3,0
1,6,6
1,4,1
0,7,7
0,2,0
0,5,0
1,2,1
0,5,0
0,2,0
0,8,8
1,6,1
1,4,1
0,6,0
0,6,0
1,5,1
0,0,0
0,3,0
1,5,5
1,4,1
1,4,1
0,8,0
0,5,0
1,5,1
1,4,1
2,8,8
0,10,0
2,5,5
0,7,0
1,5,1
0,5,0
0,7,0
0,6,6
2,5,5
0,4,0
0,7,0
0,10,0
0,8,0
2,3,3
0,3,3
3,4,4
1,3,1
1,9,1
0,7,0
0,8,0
2,8,8
0,4,0
1,9,1
0,4,0
0,6,0
0,3,0
1,4,1
0,4,0
0,4,0
0,5,0
2,4,4
0,3,0
0,9,0
1,2,1
1,4,1
0,1,0
0,9,0
0,5,5
0,5,0
2,7,7
0,3,0
0,3,0
0,8,0
2,8,8
1,6,1
0,2,0
0,7,0
1,6,1
0,4,0
0,6,0
0,6,6
0,11,0
1,4,1
2,5,5
0,6,0
0,5,0
0,6,0
1,4,1
0,6,0
1,11,1
0,8,8
1,10,1
1,5,1
0,5,0
1,5,1
0,7,0
0,8,0
0,3,0
0,5,5
0,9,9
1,2,2
0,5,0
2,6,6
0,5,0
0,2,0
4,11,11
0,3,0
1,7,1
1,6,1
2,9,9
2,5,5
0,8,0
1,5,1
0,7,0
0,7,0
3,8,8
0,5,0
0,3,0
0,3,0
1,8,1
0,5,0
0,7,0
0,7,0
0,4,0
0,3,0
0,4,4
1,5,1
1,2,1
0,6,0
0,8,0
1,6,6
1,3,3
1,10,1
0,9,0
1,7,7
0,7,0
0,6,0
0,4,0
1,4,4
0,5,0
0,6,6
1,5,1
1,8,1
0,3,0
2,9,9
1,7,1
0,4,0
0,6,0
0,5,0
0,5,0
0,9,0
2,1,1
1,6,6
0,4,4
1,4,1
0,1,1
2,9,9
0,6,0
2,5,5
0,4,0
0,4,0
0,6,0
0,5,0
0,8,0
0,8,0
1,5,5
0,11,0
0,2,0
0,7,0
1,10,1
2,3,3
0,1,0
1,7,1
1,8,1
1,2,2
0,4,0
0,4,0
0,4,0
0,4,0
0,2,0
2,3,3
0,2,2
0,8,0
0,6,0
0,9,0
0,4,0
0,5,0
0,7,0
0,7,0
1,3,3
1,7,1
1,4,4
1,3,1
0,4,4
0,5,0
0,4,0
1,2,1
2,7,7
0,3,0
2,5,5
0,4,4
1,4,4
1,6,6
0,4,0
0,1,0
0,9,0
0,7,0
2,9,9
0,8,0
1,8,1
0,6,0
2,2,2
1,5,5
0,7,7
0,4,0
1,10,1
0,2,2
0,12,0
1,5,1
1,6,1
0,3,0
0,10,0
1,6,1
1,2,1
0,4,0
1,6,1
0,5,0
1,3,1
0,6,0
0,3,0
0,3,0
2,6,6
0,4,0
2,4,4
1,3,1
0,5,0
1,7,1
0,5,5
1,8,1
0,4,0
0,3,0
1,4,1
0,5,0
0,4,0
0,2,0
1,5,1
1,7,1
0,6,0
0,4,0
0,4,0
0,6,0
1,3,1
1,4,1
0,6,0
0,2,0
0,9,0
1,9,1
0,6,0
2,6,6
0,3,0
0,9,0
1,3,1
1,4,1
0,8,0
0,5,0
1,6,1
0,4,0
0,6,0
0,0,0
0,5,0
0,7,0
0,7,0
1,7,1
0,7,0
0,1,0
0,9,0
0,7,0
1,4,1
1,3,1
0,3,0
0,6,0
0,2,0
1,6,1
0,9,0
0,4,0
0,7,7
1,8,1
0,5,5
0,7,0
1,10,10
0,8,0
1,9,1
1,5,1
0,7,0
0,8,0
2,11,11
0,11,0
2,4,4
2,7,7
1,9,1
0,6,0
1,3,1
0,3,0
0,2,0
0,8,0
0,15,0
1,5,1
0,5,0
1,6,1
1,9,9
0,7,0
0,10,0
1,5,1
1,1,1
0,4,0
1,9,1
1,6,1
0,7,0
1,5,1
0,0,0
0,5,0
1,5,1
0,5,0
0,5,0
0,3,0
1,5,1
2,4,4
0,2,0
0,6,0
0,4,0
2,6,6
0,4,0
0,2,2
0,4,0
0,5,0
1,6,1
0,11,0
1,9,1
1,4,4
1,7,1
0,9,0
0,2,0
1,2,1
1,8,1
0,7,0
0,9,9
0,9,0
0,6,0
0,5,0
0,8,0
0,7,0
0,6,0
1,2,1
0,2,0
1,1,1
0,1,1
1,4,1
1,8,1
0,7,0
3,3,3
0,6,0
2,7,7
0,1,0
0,6,0
0,9,0
0,7,0
0,5,0
1,9,9
0,10,0
1,9,1
0,5,0
0,4,0
1,7,1
1,3,1
1,8,1
2,7,7
0,5,0
1,2,2
1,3,1
0,3,0
1,3,1
0,5,0
1,5,1
0,7,0
0,3,0
1,5,1
1,10,1
1,4,1
0,4,0
2,3,3
1,8,1
0,2,0
0,5,0
0,6,0
0,4,0
0,7,0
1,5,1
0,7,0
0,5,0
0,7,7
0,4,0
0,5,0
1,5,1
0,11,0
1,3,1
0,4,0
1,6,1
1,9,1
0,3,0
0,5,0
1,9,1
0,6,0
0,6,6
0,7,7
0,6,0
0,3,3
0,7,0
0,6,0
0,3,0
0,3,0
1,4,1
0,7,0
1,6,1
1,8,1
2,4,4
0,7,0
1,7,1
0,4,4
0,5,5
0,3,0
0,9,0
0,6,0
1,6,1
0,12,0
0,4,0
1,13,1
0,7,0
0,5,0
0,6,0
0,5,0
1,10,1
3,6,6
0,4,0
0,4,0
0,5,5
0,11,11
2,2,2
2,2,2
2,3,3
0,4,0
1,9,1
2,4,4
1,7,1
1,2,1
1,5,1
1,6,1
0,3,0
0,6,0
2,2,2
0,9,0
0,5,0
2,5,5
1,7,1
0,7,0
1,5,1
0,7,7
0,3,0
0,4,0
2,7,7
1,4,1
0,9,0
0,9,0
1,7,1
0,9,0
2,10,10
0,9,0
0,4,0
1,10,1
0,3,0
0,5,0
1,6,1
1,3,1
1,5,1
0,6,0
0,4,0
0,7,0
0,4,0
0,8,0
0,7,0
0,11,0
0,6,6
0,5,0
0,5,0
1,4,1
1,7,7
0,4,0
1,5,1
0,7,0
1,7,1
0,9,0
0,7,0
0,8,0
0,3,0
1,7,1
2,3,3
0,7,0
0,8,0
0,6,0
0,5,0
0,3,0
1,5,1
0,6,0
0,5,0
0,2,0
0,6,0
1,2,1
3,6,6
0,8,0
0,1,0
1,8,8
1,6,1
0,10,0
0,9,0
2,5,5
0,4,0
0,5,0
1,5,1
0,4,0
1,8,1
1,6,1
1,2,1
0,5,0
0,8,0
1,5,1
0,4,4
2,4,4
0,3,0
0,8,0
0,8,0
2,7,7
0,5,0
0,11,0
1,3,3
0,4,0
0,9,0
0,4,0
0,7,0
0,5,0
1,8,1
1,7,7
0,10,0
0,8,0
0,3,0
1,4,1
1,4,1
0,2,0
0,5,0
1,1,1
2,7,7
1,2,1
1,6,1
0,6,0
0,6,6
0,3,3
1,6,1
1,6,1
1,3,1
0,3,0
1,3,3
0,3,0
0,5,0
0,9,0
0,3,0
0,4,0
0,6,0
0,9,0
1,2,1
2,2,2
0,5,0
1,13,1
0,8,0
0,7,0
1,7,1
0,8,0
0,7,0
0,7,0
0,7,0
0,5,0
0,7,0
1,3,1
1,5,1
0,1,0
0,9,0
0,8,0
0,4,4
1,7,1
1,5,1
0,6,6
2,5,5
0,5,0
0,5,0
1,6,1
0,6,6
1,3,1
0,2,0
0,4,0
0,6,0
0,0,0
0,4,0
0,6,0
3,4,4
1,4,1
1,2,1
1,6,1
2,10,10
1,4,1
0,5,0
0,5,0
1,9,1
1,8,1
0,5,0
1,4,1
0,6,0
2,2,2
0,4,0
1,4,1
1,5,1
0,5,0
1,6,1
1,5,1
2,2,2
2,5,5
0,3,0
0,3,0
0,4,0
1,8,1
0,3,0
0,6,0
0,4,0
0,7,7
1,6,1
0,5,0
0,6,0
0,7,0
1,2,1
1,2,1
1,9,1
0,4,4
0,5,5
0,7,0
0,5,0
1,4,1
0,8,0
0,9,0
1,7,1
1,6,6
0,3,0
1,1,1
1,3,1
2,5,5
0,2,0
0,7,0
2,8,8
0,7,7
0,4,0
0,5,0
0,5,0
0,6,0
0,2,0
0,3,0
0,7,0
0,6,0
1,9,1
0,5,0
1,6,1
1,7,1
0,11,0
1,7,1
0,6,6
0,5,0
0,5,5
0,5,0
1,5,1
0,5,0
1,9,1
1,7,7
0,7,0
3,3,3
2,2,2
1,9,9
2,4,4
1,2,1
1,4,4
0,8,0
0,7,0
1,5,1
1,2,1
1,6,6
0,7,0
1,6,1
0,6,0
1,6,1
1,5,1
1,8,1
0,11,0
0,1,0
1,5,1
2,1,1
1,4,1
0,5,0
1,6,1
2,4,4
0,6,0
0,2,0
0,8,0
0,5,0
0,6,0
0,2,0
0,3,3
0,7,0
1,8,1
0,9,0
1,6,1
0,5,0
1,3,1
0,6,0
0,6,0
1,5,1
0,4,0
0,7,0
0,4,0
1,5,1
0,5,0
0,7,0
0,7,7
0,9,0
0,3,0
1,5,1
0,10,0
0,8,0
0,4,0
0,2,0
1,6,1
1,5,1
2,3,3
0,4,4
1,1,1
1,8,8
0,8,0
0,5,0
0,3,0
0,9,0
0,4,0
1,9,1
1,8,1
1,7,1
1,5,5
2,2,2
0,9,0
0,6,0
0,7,0
3,4,4
1,5,1
0,5,0
0,3,0
0,7,0
2,4,4
0,7,0
1,7,1
0,9,9
0,5,0
0,6,0
0,8,0
0,7,0
0,8,0
1,3,1
0,4,0
0,5,0
0,10,0
0,7,0
1,3,1
0,2,0
1,4,1
0,5,0
1,6,1
0,8,0
1,5,1
1,2,1
0,7,7
0,3,0
0,6,0
0,8,0
2,7,7
1,9,1
0,4,0
0,6,0
0,8,8
0,12,0
2,9,9
0,3,0
0,5,0
0,7,0
0,3,0
0,5,0
0,4,0
0,16,0
0,3,0
0,7,0
1,7,7
0,7,0
0,8,0
0,4,0
1,4,1
2,9,9
1,4,1
1,8,8
0,6,0
0,7,0
0,6,0
1,6,1
0,1,0
0,5,0
0,6,0
1,6,1
2,8,8
0,3,0
0,1,1
0,9,0
1,6,1
0,4,0
0,4,0
1,5,1
1,7,1
1,5,1
0,3,0
1,9,1
0,6,6
1,9,1
0,8,0
2,4,4
1,3,1
0,4,0
0,4,0
1,4,4
0,9,0
